"sheet","fte","nj","after","nj_after"
1,31,1,0,0
1,40,1,1,1
2,13,1,0,0
2,12.5,1,1,1
3,12.5,1,0,0
3,7.5,1,1,1
4,16,1,0,0
4,20,1,1,1
5,20,1,0,0
5,25,1,1,1
6,3,1,0,0
6,6,1,1,1
9,32,1,0,0
9,16,1,1,1
10,25,1,0,0
10,22.5,1,1,1
11,25,1,0,0
11,24,1,1,1
12,18.25,1,0,0
12,22.5,1,1,1
13,12.5,1,0,0
13,7.5,1,1,1
14,14,1,0,0
14,12.5,1,1,1
15,15.5,1,0,0
15,15,1,1,1
16,17,1,0,0
16,15.5,1,1,1
17,10,1,0,0
17,21.5,1,1,1
18,27.5,1,0,0
18,27,1,1,1
19,19.5,1,0,0
19,28,1,1,1
21,11,1,0,0
21,5.5,1,1,1
22,10.5,1,0,0
22,10.5,1,1,1
23,12.5,1,0,0
23,21,1,1,1
24,22.5,1,0,0
24,25,1,1,1
26,37.5,1,0,0
26,20,1,1,1
27,9,1,0,0
27,3.5,1,1,1
29,3.5,1,0,0
29,6.5,1,1,1
30,8,1,0,0
30,5.5,1,1,1
31,12,1,0,0
31,13.5,1,1,1
32,20.25,1,0,0
32,14.5,1,1,1
33,22,1,0,0
33,11.5,1,1,1
34,12.5,1,0,0
34,14.5,1,1,1
35,28.25,1,0,0
35,22,1,1,1
36,14,1,0,0
36,27.5,1,1,1
37,25.5,0,0,0
37,18.5,0,1,0
38,25,1,0,0
38,20,1,1,1
40,20,0,0,0
40,19.5,0,1,0
41,13.5,0,0,0
41,21,0,1,0
42,19,0,0,0
42,11,0,1,0
45,12,0,0,0
45,17,0,1,0
48,16,0,0,0
48,20,0,1,0
50,11,0,0,0
50,14,0,1,0
51,7.5,0,0,0
51,13.5,0,1,0
56,30,0,0,0
56,18,0,1,0
57,35,0,0,0
57,16,0,1,0
58,20.5,0,0,0
58,14,0,1,0
59,7.5,0,0,0
59,8,0,1,0
60,20,0,0,0
60,20,0,1,0
61,19,0,0,0
61,29.5,0,1,0
64,27.5,1,0,0
64,19.5,1,1,1
66,24,1,0,0
66,31,1,1,1
67,12.5,1,0,0
67,12.75,1,1,1
68,35,1,0,0
68,21.5,1,1,1
69,13.5,1,0,0
69,13.5,1,1,1
70,45,1,0,0
70,25,1,1,1
71,17.5,1,0,0
71,36,1,1,1
73,3.5,1,0,0
73,14,1,1,1
75,10.5,1,0,0
75,9.5,1,1,1
76,24,1,0,0
76,32.5,1,1,1
77,31,1,0,0
77,34,1,1,1
78,18,1,0,0
78,16,1,1,1
79,18.5,1,0,0
79,17,1,1,1
81,31.5,1,0,0
81,22.5,1,1,1
82,15.25,1,0,0
82,29,1,1,1
84,19,1,0,0
84,27,1,1,1
85,17,1,0,0
85,17.5,1,1,1
86,16.5,1,0,0
86,15,1,1,1
88,20.5,1,0,0
88,22.5,1,1,1
89,13,1,0,0
89,18.5,1,1,1
91,19,1,0,0
91,15,1,1,1
92,13,1,0,0
92,17,1,1,1
93,17.5,1,0,0
93,17.5,1,1,1
94,12.5,1,0,0
94,12,1,1,1
95,19.5,1,0,0
95,7,1,1,1
96,7.5,1,0,0
96,7.5,1,1,1
97,6,1,0,0
97,8,1,1,1
98,10,1,0,0
98,9.5,1,1,1
99,80,1,0,0
99,55,1,1,1
101,12,1,0,0
101,16,1,1,1
102,18.5,1,0,0
102,13.5,1,1,1
104,50,1,0,0
104,16,1,1,1
105,20,1,0,0
105,22.5,1,1,1
106,17.5,1,0,0
106,14.5,1,1,1
107,11.5,1,0,0
107,18.5,1,1,1
108,21,1,0,0
108,23,1,1,1
111,24,1,0,0
111,27.25,1,1,1
112,17,1,0,0
112,17.5,1,1,1
114,17.5,1,0,0
114,40,1,1,1
115,32.5,1,0,0
115,13.5,1,1,1
116,15.25,1,0,0
116,28,1,1,1
118,17.5,1,0,0
118,28,1,1,1
119,21.5,1,0,0
119,24.5,1,1,1
120,16,1,0,0
120,15,1,1,1
122,20,1,0,0
122,35,1,1,1
124,13,1,0,0
124,24,1,1,1
125,15,1,0,0
125,7.5,1,1,1
128,10.25,1,0,0
128,11,1,1,1
129,30,1,0,0
129,16,1,1,1
130,19.75,1,0,0
130,21,1,1,1
131,27.5,1,0,0
131,19,1,1,1
132,30,1,0,0
132,25,1,1,1
133,14,1,0,0
133,13,1,1,1
134,18,1,0,0
134,19.75,1,1,1
137,27.5,1,0,0
137,27,1,1,1
140,20,1,0,0
140,22.5,1,1,1
141,17.5,1,0,0
141,22.5,1,1,1
142,32.5,1,0,0
142,55.5,1,1,1
144,25,1,0,0
144,22.5,1,1,1
145,13.5,1,0,0
145,14,1,1,1
146,18,1,0,0
146,16,1,1,1
147,11.75,1,0,0
147,6,1,1,1
148,19.5,1,0,0
