"year","educ","age","exp","income","non_white","exp_sq"
1999,13,18,-2,7.247761,0,4
2002,8,22,7,8.982443,0,49
2003,13,22,2,8.525437,0,4
1996,7,44,30,5.875404,1,900
1997,10,45,28,5.9466,1,784
2002,7,49,35,6.531967,1,1225
2003,7,50,36,7.543015,1,1296
1997,11,34,16,8.721416,0,256
1998,8,35,20,8.953308,0,400
1999,9,36,20,9.987486,0,400
1996,11,35,17,12.5832,1,289
1997,10,36,19,12.29865,1,361
1998,9,37,21,12.43321,1,441
1999,14,38,17,12.27213,1,289
2000,10,39,22,10.99549,1,484
2002,13,41,21,16.00563,1,441
2003,14,42,21,17.38537,1,441
2004,9,43,27,13.31557,1,729
1996,12,40,21,7.842569,0,441
1999,10,43,26,0,0,676
2000,10,44,27,9.462621,0,729
2003,15,47,25,8.805375,0,625
2003,15,47,25,11.80155,0,625
2004,13,48,28,11.56453,0,784
2005,9,49,33,7.997965,0,1089
2000,9,19,3,13.73053,0,9
2003,17,22,-2,0,0,4
2004,15,23,1,9.601852,0,1
2005,16,24,1,19.58573,0,1
1996,11,29,11,3.846557,1,121
1997,8,30,15,6.328956,1,225
1998,10,31,14,8.589133,1,196
1999,13,32,12,11.55125,1,144
2000,14,33,12,9.78053,1,144
2003,13,36,16,15.47973,1,256
2005,9,38,22,15.21007,1,484
2004,12,48,29,,0,841
1996,12,34,15,10.44659,0,225
1997,13,35,15,10.95921,0,225
1998,13,36,16,13.54066,0,256
1999,18,37,12,13.99745,0,144
2000,17,38,14,14.26086,0,196
2002,11,40,22,17.66369,0,484
2003,13,41,21,16.54983,0,441
2004,13,42,22,16.89479,0,484
2005,11,43,25,19.3179,0,625
1996,17,34,10,14.71786,0,100
1997,15,35,13,13.43395,0,169
1998,14,36,15,14.29881,0,225
1999,15,37,15,15.46975,0,225
2000,12,38,19,19.08929,0,361
2002,13,40,20,19.06223,0,400
2003,18,41,16,27.2004,0,256
2004,17,42,18,,0,324
2005,14,43,22,33.33965,0,484
1996,17,42,18,57.03241,0,324
2000,18,46,21,,0,441
1996,19,43,17,16.61813,0,289
1997,12,44,25,17.50308,0,625
1998,15,45,23,19.76588,0,529
1999,18,46,21,16.86604,0,441
2000,16,47,24,19.30272,0,576
2002,17,49,25,23.04673,0,625
2003,17,50,26,22.46506,0,676
1996,5,35,23,7.573615,1,529
1997,2,36,27,6.204049,1,729
1998,1,37,29,6.993503,1,841
1999,1,38,30,9.801707,1,900
2000,2,39,30,9.726588,1,900
2002,5,41,29,9.502982,1,841
2003,1,42,34,9.547411,1,1156
2004,12,43,24,13.52716,1,576
2005,12,44,25,19.97183,1,625
1996,2,35,26,7.473472,0,676
1997,6,36,23,8.006606,0,529
1998,5,37,25,8.604276,0,625
1999,6,38,25,9.732793,0,625
2000,1,39,31,9.067994,0,961
2003,10,42,25,,0,625
1996,16,24,1,4.143061,1,1
1998,16,26,3,3.733408,1,9
1999,15,27,5,7.908267,1,25
2001,12,28,9,20.72412,1,81
2003,16,31,8,9.600409,1,64
2004,11,32,14,11.49399,1,196
2000,9,20,4,4.969728,1,16
1996,10,48,31,,0,961
1997,8,49,34,7.47713,0,1156
1998,14,50,29,6.976682,0,841
1996,12,22,3,.859194,0,9
1997,8,23,8,4.986876,0,64
1998,17,24,0,.9792211,0,0
2000,12,25,6,8.81896,0,36
2000,16,26,3,11.70955,0,9
2002,12,28,9,21.28245,0,81
2003,15,29,7,30.6811,0,49
1997,11,21,3,3.844547,1,9
1998,9,22,6,6.300352,1,36
1999,12,23,4,8.400055,1,16
2000,14,24,3,12.01852,1,9
2002,14,26,5,14.88575,1,25
2003,15,27,5,18.15558,1,25
2004,12,28,9,20.74126,1,81
2005,10,29,12,18.7889,1,144
2004,12,24,5,,0,25
2005,13,25,5,9.33031,0,25
1999,16,46,23,,0,529
1997,11,42,24,2.463151,0,576
1998,12,43,24,5.690392,0,576
1999,10,44,27,5.741763,0,729
2000,12,46,27,7.977761,0,729
2002,14,48,27,6.816328,0,729
2003,13,48,28,6.050066,0,784
2005,15,50,28,5.832258,0,784
1997,10,38,21,3.443594,0,441
1998,13,39,19,5.080956,0,361
1999,13,40,20,8.032903,0,400
2000,15,41,19,11.11489,0,361
2002,16,43,20,14.28341,0,400
2003,12,44,25,12.4527,0,625
2004,9,45,29,13.64121,0,841
2005,15,46,24,11.95187,0,576
2002,4,19,8,7.697926,0,64
2003,5,20,8,8.758598,0,64
2004,6,21,8,10.63663,0,64
2005,10,22,5,11.51816,0,25
1996,15,38,16,6.727442,1,256
1997,13,39,19,9.345674,1,361
1998,17,40,16,9.409159,1,256
1999,13,41,21,9.901319,1,441
2002,16,44,21,12.47775,1,441
2003,18,45,20,16.74319,1,400
2004,15,46,24,18.25326,1,576
2005,14,47,26,18.66415,1,676
1999,7,46,32,.3283115,0,1024
2000,6,47,34,5.37922,0,1156
2003,3,50,40,5.09439,0,1600
1996,15,40,18,9.878695,0,324
1997,13,41,21,7.103858,0,441
1998,17,42,18,,0,324
1999,16,43,20,11.33616,0,400
2000,12,44,25,12.38187,0,625
2002,13,46,26,14.97742,0,676
2003,15,47,25,17.65166,0,625
2004,16,48,25,12.86308,0,625
2005,14,49,28,20.42317,0,784
1996,11,21,3,,0,9
1997,12,22,3,3.463217,0,9
1998,12,23,4,3.800775,0,16
1999,10,24,7,3.528864,0,49
2002,9,27,11,5.782439,0,121
2003,16,28,5,6.149243,0,25
2004,12,29,10,7.232519,0,100
2000,11,20,2,5.283363,1,4
2002,10,22,5,5.744488,1,25
2003,13,23,3,7.589693,1,9
1996,15,27,5,4.465211,1,25
1997,17,28,4,8.896347,1,16
1998,11,29,11,10.84974,1,121
1999,14,30,9,8.662826,1,81
2000,12,31,12,15.26357,1,144
2002,17,33,9,8.662296,1,81
2003,16,34,11,14.40777,1,121
2005,14,36,15,,1,225
1996,14,37,16,9.796529,0,256
1999,12,39,20,57.95848,0,400
1999,14,40,19,62.35855,0,361
2001,12,41,22,88.15603,0,484
2002,18,43,18,50.78687,0,324
2003,14,44,23,86.28531,0,529
2004,15,45,23,92.72044,0,529
1996,10,50,33,12.28005,0,1089
1997,15,26,4,2.011744,0,16
1998,15,27,5,8.245092,0,25
1999,17,28,4,10.14636,0,16
2000,12,29,10,14.93793,0,100
2002,15,31,9,15.57355,0,81
1998,12,23,4,0,0,16
1999,14,24,3,7.201935,0,9
2000,16,25,2,7.633918,0,4
2004,13,29,9,9.183901,0,81
2005,14,30,9,10.71011,0,81
2005,8,21,6,1.353157,0,36
1996,13,30,10,13.71331,0,100
1998,6,31,18,15.00332,0,324
1999,9,32,16,8.308591,0,256
1999,11,33,15,12.53352,0,225
2000,12,34,15,13.5307,0,225
2002,9,36,20,23.73204,0,400
2003,8,37,22,28.25083,0,484
2004,12,38,19,22.16895,0,361
2005,8,39,24,28.68361,0,576
1996,14,33,12,19.44249,0,144
1996,11,30,12,13.16552,0,144
1997,14,31,10,14.14911,0,100
1998,9,32,16,11.1493,0,256
1999,11,33,15,18.3865,0,225
2000,11,34,16,25.87541,0,256
2002,13,36,16,20.01937,0,256
2003,10,37,20,35.55103,0,400
2004,12,38,19,49.05352,0,361
2005,13,39,19,25.04388,0,361
1996,10,42,25,14.99853,1,625
1997,12,43,24,19.84161,1,576
