year,educ,age,exp,exp_sq,non_white,y,lny
1999,10,18,1,1,0,0.0018104,-6.314207464
1999,2,40,31,961,0,0.0026679,-5.926463633
1999,12,23,4,16,0,0.0057829,-5.152849992
1999,11,38,20,400,0,0.0067684,-4.995490557
2000,12,30,11,121,0,0.0098321,-4.622102736
2004,13,19,-1,1,0,0.0124861,-4.383139253
2001,12,21,2,4,1,0.0157583,-4.150388068
1999,14,31,10,100,0,0.0170092,-4.074000905
2000,11,19,1,1,0,0.0205621,-3.884305704
1998,14,21,0,0,1,0.0219178,-3.820456187
2002,13,25,5,25,1,0.0220149,-3.816035782
2002,7,21,7,49,1,0.0249696,-3.690096194
1998,12,19,0,0,0,0.0254762,-3.670010596
2005,9,18,2,4,1,0.02993,-3.508893957
2000,16,25,2,4,1,0.0315753,-3.45538011
1997,18,23,-2,4,0,0.0316419,-3.453273087
1999,3,26,16,256,1,0.0321372,-3.437741041
2004,13,22,2,4,0,0.0324595,-3.427762121
1998,11,18,0,0,0,0.0338664,-3.385331907
2001,13,34,14,196,1,0.0342797,-3.373201937
2003,13,23,3,9,0,0.0356534,-3.333910765
1998,13,19,-1,1,0,0.0366421,-3.306557426
2002,12,19,0,0,1,0.0381854,-3.265302035
2005,12,18,-1,1,1,0.0431611,-3.142815652
2002,3,43,33,1089,0,0.0477968,-3.040796587
2000,3,48,38,1444,1,0.0487748,-3.020541493
1999,10,32,15,225,0,0.053203,-2.933640493
1997,11,18,0,0,0,0.0536009,-2.92618942
1996,13,31,11,121,1,0.0552785,-2.895371234
1996,16,21,-2,4,0,0.0578973,-2.849084528
2005,14,18,-3,9,1,0.0586601,-2.835995511
1997,11,23,5,25,0,0.0608764,-2.7989097
2003,15,22,0,0,0,0.0618945,-2.782323956
1996,12,22,3,9,0,0.0630822,-2.763316641
2002,15,26,4,16,0,0.0665986,-2.709071723
2003,9,19,3,9,0,0.0757632,-2.580142592
2003,10,19,2,4,0,0.0771516,-2.561982962
2000,14,33,12,144,0,0.0820261,-2.50071779
2004,15,30,8,64,0,0.0848615,-2.466734763
1999,9,19,3,9,0,0.086454,-2.448142798
2002,9,19,3,9,0,0.0885446,-2.424248899
1999,10,46,29,841,0,0.0914596,-2.391857934
2004,9,18,2,4,0,0.0918679,-2.387403603
2003,13,22,2,4,0,0.0926002,-2.379463978
2002,15,41,19,361,1,0.0931907,-2.373107348
1996,8,29,14,196,0,0.0945694,-2.358421322
2000,4,18,7,49,0,0.0954924,-2.348708616
2005,5,47,35,1225,0,0.1003866,-2.298726547
1998,9,33,17,289,1,0.1013414,-2.289260264
2003,10,28,11,121,0,0.1043794,-2.259722941
2003,17,23,-1,1,0,0.1045911,-2.257696817
2001,4,39,28,784,1,0.1077437,-2.22800002
1996,13,20,0,0,0,0.108178,-2.22397726
2004,7,29,15,225,1,0.1088713,-2.217588828
2003,10,19,2,4,0,0.1100564,-2.206762317
2000,7,18,4,16,0,0.1117863,-2.191166266
2001,7,27,13,169,0,0.112578,-2.184108964
1999,11,24,6,36,0,0.1139586,-2.171920054
2004,12,26,7,49,0,0.1143345,-2.168626916
2004,9,18,2,4,1,0.1148123,-2.164456658
1998,15,23,1,1,0,0.1154739,-2.158710749
1999,7,41,27,729,1,0.1181801,-2.135545547
2001,13,20,0,0,1,0.1183058,-2.134482481
2000,17,23,-1,1,0,0.1194786,-2.124618003
1998,7,29,15,225,0,0.1224657,-2.099924288
2003,12,33,14,196,0,0.123616,-2.090575292
2003,15,24,2,4,0,0.1253705,-2.076481926
2000,9,19,3,9,0,0.1262368,-2.069595771
2004,8,18,3,9,0,0.1305439,-2.03604571
1997,10,18,1,1,0,0.1354709,-1.998998422
1998,11,22,4,16,0,0.1355739,-1.9982384
2002,16,22,-1,1,0,0.1374351,-1.984603473
1998,18,26,1,1,1,0.138033,-1.980262492
1999,11,18,0,0,0,0.1400892,-1.965475916
1996,1,26,18,324,1,0.1424497,-1.948766324
1998,15,21,-1,1,0,0.1428204,-1.946167382
2003,3,44,34,1156,1,0.1434824,-1.941542899
1997,9,23,7,49,0,0.1466436,-1.919750126
2003,13,24,4,16,0,0.1483197,-1.9083852
1999,14,43,22,484,1,0.1483886,-1.907920771
2001,8,33,18,324,0,0.1497717,-1.898643144
1998,7,25,11,121,0,0.1501414,-1.896177762
1999,12,35,16,256,0,0.1508288,-1.89160986
1996,8,19,4,16,0,0.1510641,-1.890051029
1998,11,19,1,1,0,0.1511135,-1.889724069
1998,9,19,3,9,0,0.1516226,-1.88636074
1998,12,23,4,16,0,0.1537353,-1.872522987
2005,13,18,-2,4,0,0.158411,-1.842562358
2004,13,19,-1,1,1,0.1584126,-1.842552257
1998,8,34,19,361,0,0.1652612,-1.800228026
1999,3,41,31,961,0,0.1697777,-1.773265345
2002,8,27,12,144,0,0.1765646,-1.734068464
2004,9,34,18,324,1,0.1777358,-1.727457101
2001,7,33,19,361,0,0.177912,-1.726466233
1998,8,18,3,9,0,0.1794091,-1.718086606
1999,15,24,2,4,0,0.1797366,-1.716262833
1999,11,19,1,1,0,0.1803527,-1.712840901
1999,15,22,0,0,0,0.180743,-1.710679146
2004,9,30,14,196,0,0.1820432,-1.703511257
1998,13,34,14,196,0,0.1827038,-1.699889017
2000,8,19,4,16,0,0.184088,-1.692341375
2000,13,20,0,0,0,0.1844373,-1.690445711
1996,7,30,16,256,0,0.1849403,-1.687722209
2005,17,23,-1,1,0,0.1931857,-1.644103377
1996,7,18,4,16,0,0.1935715,-1.642108326
2000,14,37,16,256,0,0.1956516,-1.631419752
2004,8,20,5,25,0,0.1962176,-1.628531031
1999,14,19,-2,4,0,0.1965999,-1.62658458
1997,16,19,-4,16,0,0.1973607,-1.62272226
2000,12,40,21,441,0,0.1974716,-1.622160502
1997,16,22,-1,1,0,0.1975479,-1.621774192
2003,3,49,39,1521,1,0.1991581,-1.613656297
2004,9,18,2,4,1,0.2001815,-1.608530824
1999,16,30,7,49,0,0.2006933,-1.605977407
1998,13,20,0,0,0,0.2020913,-1.599035703
1998,10,19,2,4,0,0.2025695,-1.596672241
1999,16,22,-1,1,0,0.2059972,-1.579892703
